csvid,description
0,"Password>>Update>>Help>>Desk>>||||>>Password>>will>>expire>>in>>2>>days>>.>>Click>>Here>><>>http://www.formlogix.com>>/>>Manager>>/>>UserConditionalSurvey260102.aspx?Param>>=>>VXNlcklkPTI2MDEwMi5Gb3JtSWQ9MQ==>>>>>To>>Validate>>E>>->>mail>>Thank>>you>>,>>Copyright>>1993>>->>2013>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>IMPORTANT>>NOTICE>>:>>This>>email>>is>>meant>>for>>the>>use>>of>>the>>intended>>recipient>>.>>It>>may>>contain>>confidential>>information>>which>>is>>legally>>privileged>>or>>otherwise>>protected>>by>>law>>.>>If>>you>>received>>this>>email>>in>>error>>or>>from>>someone>>who>>was>>not>>authorized>>to>>send>>it>>to>>you>>,>>you>>are>>strictly>>prohibited>>from>>reviewing>>,>>using>>,>>disseminating>>,>>distributing>>,>>or>>copying>>the>>email>>.>>Please>>notify>>us>>immediately>>of>>the>>error>>by>>return>>email>>and>>delete>>this>>message>>from>>your>>system>>.>>Thank>>you>>for>>your>>cooperation>>."
1,"Paypal>>URGENT>>||||>>PayPal>>is>>constantly>>working>>to>>ensure>>security>>by>>regularly>>screening>>the>>accounts>>in>>our>>system>>.>>We>>recently>>reviewed>>your>>account>>,>>and>>we>>need>>more>>information>>to>>help>>us>>provide>>you>>with>>secure>>service>>.>>Until>>we>>can>>collect>>this>>information>>,>>your>>access>>to>>sensitive>>account>>features>>will>>be>>limited>>.>>We>>would>>like>>to>>restore>>your>>access>>as>>soon>>as>>possible>>,>>and>>we>>apologize>>for>>the>>inconvenience>>.>>Why>>is>>my>>account>>access>>limited>>?>>Your>>account>>access>>has>>been>>limited>>for>>the>>following>>reason(s>>):>>Jan>>26>>,>>2016>>:>>We>>want>>to>>check>>with>>you>>to>>make>>sure>>that>>no>>one>>has>>logged>>in>>to>>your>>account>>without>>your>>permission>>.>>Sign>>in>>and>>coplete>>the>>verification>>.>>Please>>copy>>this>>link>>and>>paste>>it>>into>>your>>web>>browser>>:>>http://safescopeadvance.esy.es/v7_smart22/signin/>>(>>Your>>case>>ID>>for>>this>>reason>>is>>PP-004>>->>499>>->>823>>->>182>>.>>)>>/Help>>Center>>|>>Security>>Center>>Copyright>>2016>>PayPal>>,>>Inc.>>All>>rights>>reserved>>.>>PayPal>>is>>located>>at>>2211>>N.>>First>>St.>>,>>San>>Jose>>,>>CA>>95131>>.>>PayPal>>Email>>ID>>PP1469"
2,"PROTECT>>YOUR>>ACCOUNT>>FROM>>UNAUTHORIZED>>ACCESS>>||||>>E>>->>mail>>Address>>Update>>View>>Accounts>>|>>Privacy>>Promise>>|>>Cosntact>>Us>>USAA>>SECURITY>>ZONE>>BARBARA>>OTTO>>USAA>>#>>ending>>in>>:>>9351>>Dear>>Valued>>Customer>>,>>We>>have>>temporarily>>limited>>some>>features>>of>>your>>account>>because>>we>>noticed>>several>>failed>>attempt>>on>>your>>account>>.>>It>>is>>now>>important>>for>>you>>to>>update>>your>>full>>profile>>for>>your>>account>>safety>>.>>We>>need>>you>>to>>update>>your>>account>>information>>immediately>>.>>click>>here>>to>>update>>your>>account>>now>>Account>>Update>>Process>>is>>not>>necessary>>unless>>this>>activity>>occurred>>without>>your>>knowledge>>or>>permission>>.>>To>>learn>>how>>USAA>>protects>>your>>information>>,>>visit>>our>>Security>>Center>>on>>usaa.com>>.>>We>>value>>your>>business>>and>>are>>committed>>to>>keeping>>your>>accounts>>and>>personal>>information>>safe>>and>>secure>>.>>Thank>>you>>,>>USAA>>Please>>do>>not>>reply>>to>>this>>e>>->>mail>>.>>To>>send>>a>>secure>>message>>to>>USAA>>,>>please>>contact>>us>>.>>Privacy>>Promise>>USAA>>,>>9800>>Fredericksburg>>Road>>,>>San>>Antonio>>,>>Texas>>78288>>66659>>->>0309"
3,"UPGRADE>>YOUR>>USAA.COM>>SECURITY>>NOW>>!>>!>>||||>>New>>Security>>Update>>View>>Accounts>>|>>Privacy>>Promise>>|>>Cosntact>>Us>>USAA>>SECURITY>>ZONE>>BARBARA>>OTTO>>USAA>>#>>ending>>in>>:>>9351>>Dear>>Valued>>Customer>>,>>New>>security>>update>>for>>Unauthorized>>online>>account>>log>>->>in>>from>>USAA>>has>>been>>put>>in>>place>>.>>Update>>your>>credentials>>to>>be>>part>>of>>these>>new>>security>>measures>>.>>Tap>>the>>SECURE>>UPDATE>>,>>for>>your>>account>>to>>be>>fully>>protected>>from>>unauthorized>>login>>.>>We>>appreciate>>your>>support>>and>>understanding>>,>>as>>we>>work>>together>>to>>keep>>USAA>>a>>safe>>place>>for>>banking>>.>>Thank>>you>>for>>your>>patience>>in>>this>>situation>>.>>To>>learn>>how>>USAA>>protects>>your>>information>>,>>visit>>our>>>>>Security>>Center>>on>>usaa.com>>.>>We>>value>>your>>business>>and>>are>>committed>>to>>keeping>>your>>accounts>>and>>personal>>information>>safe>>and>>secure>>.>>Thank>>you>>,>>USAA>>Please>>do>>not>>reply>>to>>this>>e>>->>mail>>.>>To>>send>>a>>secure>>message>>to>>USAA>>,>>please>>contact>>us>>.>>Privacy>>Promise>>USAA>>,>>9800>>Fredericksburg>>Road>>,>>San>>Antonio>>,>>Texas>>78288>>66659>>->>0309"
4,"EMAIL>>ACCOUNT>>BLACKLISTED>>||||>>Your>>account>>has>>been>>blacklisted>>Your>>jose@monkey.org>>account>>was>>detected>>spam>>activities>>and>>will>>be>>fully>>blocked>>.>>If>>no>>action>>is>>taking>>from>>your>>side>>we>>will>>be>>force>>to>>continue>>the>>process>>of>>blocking>>your>>account>>.>>If>>you>>would>>like>>to>>continue>>using>>your>>e>>->>mail>>account>>.>>Re>>->>activate>>now>>NOTE>>:>>Failure>>to>>respond>>to>>this>>message>>,>>your>>account>>will>>be>>deactivated>>from>>the>>database>>.>>To>>opt>>out>>or>>change>>where>>you>>receive>>security>>notifications>>,>>Click>>Here>>."
5,"{>>jose@monkey.org>>}>>Storage>>Exceeded>>||||>>You>>will>>soon>>exceed>>your>>limit>>.>>Hello>>{>>jose@monkey.org>>}>>4560>>MB>>5096>>MB>>Current>>size>>Maximum>>size>>Your>>jose@monkey.org>>will>>soon>>exceeds>>its>>limit>>,>>you>>are>>advised>>to>>clean>>up>>by>>deleting>>unwanted>>files>>to>>increase>>your>>jose@monkey.org>>space>>without>>losing>>any>>files>>Follow>>here>>.>>Thanks>>,>>Administrator>>."
6,"最終>>警告>>电子邮件存储限制>>||||>>jose@monkey.org>>,>>`>>A8v84AE{B14D9D]F2nE1>>D9SEFFDO1A[FCF4`A8v84AE{B1e459Cb16`A8SEFFDeE0lD5Q8DcA5e36fF4Y1Av84u35[50AENF6>>81>>~>>E7>>~>>EDO7Fu28`A8v84AE{B10C`A80081zCBS73S47>>~>>A7`A8v84AE{B14D9D002>>D979g0DRA1f2FQ4D39v84002>>S47>>~>>A7AE{B14D9DD9CC>>N00eE6S47>>~>>A7[8Cb100C`A8v84AE{B1\06g09e48W30]E5O5C002>>AENF6{A1t06T58>>2015>>--->>This>>email>>has>>been>>checked>>for>>viruses>>by>>Avast>>antivirus>>software>>.>>https://www.avast.com/antivirus"
7,"WE>>HAVE>>NOT>>RECEIVED>>YOUR>>ACCOUNT>>UPDATE>>->>UPDATE>>NOW>>||||>>To>>ensure>>delivery>>to>>your>>inbox>>,>>please>>add>>USAA.Customer.Service@mailcenter.usaa.com>>to>>your>>address>>book>>.>>Security>>Upgrade>>May>>Affect>>usaa.com>>Access>>View>>Accounts>>|>>Privacy>>Promise>>|>>Contact>>Us>>USAA>>SECURITY>>ZONE>>USAA>>Member>>USAA>>#>>@page>>Section1>>:>>first>>{>>size:8.5>>in>>11.0>>in>>;>>margin>>->>top:0.75>>in>>;>>margin>>->>right:0.75>>in>>;>>margin>>->>bottom:0.75>>in>>;>>margin>>->>left:0.75>>in>>}>>#>>messagebody>>div.rcmBody>>div>>.>>Section1>>{>>page:""Section1>>"">>}>>#>>messagebody>>div.rcmBody>>p.normal>>{>>font>>->>family:""Verdana>>"">>;>>font>>->>size:10.0pt>>;>>font>>->>variant>>:>>normal>>;>>text>>->>align>>:>>left>>;>>text>>->>transform>>:>>none>>;>>margin>>->>top:0.0pt>>;>>margin>>->>right:0.0pt>>;>>margin>>->>bottom:0.0pt>>;>>margin>>->>left:0.0pt>>}>>#>>messagebody>>div.rcmBody>>table.normal>>{>>font>>->>family:""Times>>New>>Roman>>"">>;>>font>>->>size:10.0pt>>;>>font>>->>variant>>:>>normal>>;>>text>>->>align>>:>>left>>;>>text>>->>transform>>:>>none>>;>>margin>>->>top:0.0pt>>;>>margin>>->>right:0.0pt>>;>>margin>>->>bottom:0.0pt>>;>>margin>>->>left:0.0pt>>;>>border>>->>collapse>>:>>collapse>>}>>Dear>>Valued>>Member>>,>>We>>recently>>let>>you>>know>>that>>we>>are>>participating>>in>>a>>worldwide>>Internet>>upgrade>>to>>increase>>online>>security>>for>>you>>and>>USAA>>.>>Access>>to>>usaa.com>>for>>members>>who>>use>>devices>>with>>old>>operating>>systems>>may>>be>>affected>>by>>this>>Internet>>upgrade>>.>>To>>update>>your>>account>>now>>,>>Log>>on>>to>>usaa.com>>.>>Device>>Update>>Deadline>>This>>is>>a>>final>>reminder>>that>>you>>'ll>>need>>to>>check>>your>>device>>operating>>system>>and>>update>>it>>if>>necessary>>by>>Feb>>8>>,>>2015>>.>>After>>this>>date>>,>>devices>>without>>an>>updated>>system>>will>>not>>be>>able>>to>>access>>usaa.com>>.>>If>>you>>need>>help>>updating>>your>>device>>,>>please>>contact>>your>>mobile>>service>>provider>>or>>computer>>retailer>>.>>If>>you>>have>>questions>>,>>please>>call>>us>>at>>1>>->>877>>->>632>>->>3002>>and>>say>>"">>technical>>support>>"">>when>>prompted>>.>>Thank>>you>>,>>USAA>>USAA>>,>>9800>>Fredericksburg>>Road>>,>>San>>Antonio>>,>>Texas>>782>>88>>Privacy>>Promise>>Please>>do>>not>>reply>>to>>this>>e>>->>mail>>.>>To>>contact>>USAA>>,>>visit>>our>>secure>>contact>>page>>.>>129209>>->>0215"
8,"Re>>->>validate>>your>>email>>account>>||||>>Re>>->>Validate>>Your>>Mailbox>>!>>!>>!>>Your>>Account>>Will>>Be>>Blocked>>!>>Your>>Account>>will>>Expire>>15>>,>>FEB>>,>>2016>>If>>you>>would>>like>>to>>continue>>using>>your>>Email>>Address>>,>>Click>>Here>>To>>Upgrade>>Your>>Account>>Now>>!>>!>>!>>YOU>>WILL>>LOSE>>YOUR>>EMAIL>>ADDRESS>>IF>>YOU>>DO>>NOT>>UPGRADE>>YOUR>>ACCOUNT>>.>>UPGRADE>>IS>>FREE>>Thanks>>.>>Mail>>Team!-2016>>All>>Rights>>Reserved>>Lucky>>Textile>>Group>>---------------------------------------------------------------------->>Avant>>d'imprimer>>ce>>mail>>,>>pensez>>l'environnement>>Before>>printing>>,>>think>>about>>the>>environment>>---------------------------------------------------------------------->>This>>e>>->>mail>>,>>any>>attachments>>and>>the>>information>>contained>>therein>>(>>'>>this>>message>>'>>)>>are>>confidential>>and>>intended>>solely>>for>>the>>use>>of>>the>>addressee(s>>)>>.>>If>>you>>have>>received>>this>>message>>in>>error>>please>>send>>it>>back>>to>>the>>sender>>and>>delete>>it>>.>>Unauthorized>>publication>>,>>use>>,>>dissemination>>or>>disclosure>>of>>this>>message>>,>>either>>in>>whole>>or>>in>>part>>is>>strictly>>prohibited>>.>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>Ce>>message>>electronique>>et>>tous>>les>>fichiers>>joints>>ainsi>>que>>les>>informations>>contenues>>dans>>ce>>message>>(>>ci>>apres>>'>>le>>message>>'>>)>>,>>sont>>confide>>ntiels>>et>>destines>>exclusivement>>a>>l'usage>>de>>la>>personne>>a>>laquelle>>ils>>sont>>adresses>>.>>Si>>vous>>avez>>recu>>ce>>message>>par>>erreur>>,>>merci>>de>>le>>renvoyer>>a>>son>>emetteur>>et>>de>>le>>detruire>>.>>Toute>>diffusion>>,>>publication>>,>>totale>>ou>>partielle>>ou>>divulgation>>sous>>quelque>>forme>>que>>ce>>soit>>non>>expressement>>autorisees>>de>>ce>>message>>,>>sont>>interdites>>."
9,"WE>>ARE>>UNABLE>>TO>>CONFIRM>>YOUR>>IDENTITY>>||||>>Security>>Preferences>>Update>>View>>Accounts>>|>>Privacy>>Promise>>|>>Contact>>Us>>USAA>>SECURITY>>ZONE>>Security>>and>>Privacy>>Center>>Dear>>USAA>>Member>>,>>Thank>>you>>for>>being>>part>>of>>the>>USAA>>family>>.>>We>>'re>>firmly>>committed>>to>>protecting>>your>>financial>>and>>personal>>information>>.>>Your>>trust>>is>>important>>to>>us>>,>>For>>your>>security>>,>>we>>have>>temporarily>>prevented>>access>>to>>your>>account>>.>>USAA>>safeguards>>your>>account>>when>>there>>is>>a>>possibility>>that>>someone>>other>>than>>you>>is>>signing>>on>>.>>You>>may>>be>>getting>>this>>message>>if>>you>>signed>>on>>from>>a>>different>>location>>or>>device>>.>>If>>this>>is>>the>>case>>,>>your>>access>>may>>be>>restored>>when>>you>>return>>to>>your>>normal>>sign>>on>>method>>.>>What>>you>>should>>do>>:>>For>>Immediate>>and>>Continious>>access>>to>>confirm>>your>>identity>>.>>>>>Click>>Here>>To>>Confirm>>It>>'s>>also>>important>>to>>us>>that>>you>>know>>:>>We>>do>>n't>>sell>>your>>information>>We>>share>>information>>outside>>of>>USAA>>only>>as>>permitted>>by>>law>>for>>our>>everyday>>business>>purposes>>.>>Your>>information>>is>>confidential>>Our>>employees>>and>>the>>companies>>we>>contract>>with>>are>>obligated>>to>>hold>>member>>information>>in>>the>>strictest>>confidence>>.>>We>>protect>>your>>information>>We>>have>>physical>>security>>on>>site>>,>>rigorous>>security>>procedures>>and>>world>>->>class>>virus>>/>>intrusion>>detection>>software>>in>>place>>.>>Thank>>you>>for>>your>>continued>>trust>>in>>USAA>>.>>Sincerely>>,>>Gary>>D.>>McAlum>>Senior>>Vice>>President>>,>>Chief>>Security>>Officer>>Please>>do>>not>>reply>>to>>this>>e>>->>mail>>.>>To>>send>>a>>secure>>message>>to>>USAA>>,>>please>>contact>>us>>.>>Privacy>>Promise>>USAA>>105950>>->>0611"
